group,replicate,fastq_1,fastq_2,strandedness
X035_org_TOM_L1,1,NGS_M_Sheridan_40616_run1/X035_org_TOM_L001_ds.25d50febd7db4ab189dfe10d5a899ece/X035-org-TOM_S25_L001_R1_001.fastq.gz, ,reverse
X035_org_TOM_L2,1,NGS_M_Sheridan_40616_run1/X035_org_TOM_L002_ds.3fce6b9a7f09467d90c4733c1fee4311/X035-org-TOM_S25_L002_R1_001.fastq.gz, ,reverse
X035_org_TOM_L3,1,NGS_M_Sheridan_40616_run1/X035_org_TOM_L003_ds.620f14f1d7214eaf9522d993f241aca5/X035-org-TOM_S25_L003_R1_001.fastq.gz, ,reverse
X035_org_TOM_L4,1,NGS_M_Sheridan_40616_run1/X035_org_TOM_L004_ds.b34aad55b91d4864b7d2e7e7100a0417/X035-org-TOM_S25_L004_R1_001.fastq.gz, ,reverse
X039_3D_fluffy_L1,1,NGS_M_Sheridan_40616_run1/X039_3D_fluffy_L001_ds.8eea6b765cf347e99fa8532e480fb463/X039-3D-fluffy_S29_L001_R1_001.fastq.gz, ,reverse
X039_3D_fluffy_L2,1,NGS_M_Sheridan_40616_run1/X039_3D_fluffy_L002_ds.8845c9983554426b8749609bc9de8fd7/X039-3D-fluffy_S29_L002_R1_001.fastq.gz, ,reverse
X039_3D_fluffy_L3,1,NGS_M_Sheridan_40616_run1/X039_3D_fluffy_L003_ds.c80d4a2c0514485b9010ee4507bf9e92/X039-3D-fluffy_S29_L003_R1_001.fastq.gz, ,reverse
X039_3D_fluffy_L4,1,NGS_M_Sheridan_40616_run1/X039_3D_fluffy_L004_ds.33ea4030659e4503956845f2ccf3f9a8/X039-3D-fluffy_S29_L004_R1_001.fastq.gz, ,reverse
X041_3D_fluffy_L1,1,NGS_M_Sheridan_40616_run1/X041_3D_fluffy_L001_ds.69f0abed85f644ad89c32b1ab34f10d7/X041-3D-fluffy_S30_L001_R1_001.fastq.gz, ,reverse
X041_3D_fluffy_L2,1,NGS_M_Sheridan_40616_run1/X041_3D_fluffy_L002_ds.15e186c0fb14438b972b96c04d5e2051/X041-3D-fluffy_S30_L002_R1_001.fastq.gz, ,reverse
X041_3D_fluffy_L3,1,NGS_M_Sheridan_40616_run1/X041_3D_fluffy_L003_ds.d1ac812af11042d79b6a8edd8dac1ced/X041-3D-fluffy_S30_L003_R1_001.fastq.gz, ,reverse
X041_3D_fluffy_L4,1,NGS_M_Sheridan_40616_run1/X041_3D_fluffy_L004_ds.091dfd897c924908b14dd1c614f7c2d0/X041-3D-fluffy_S30_L004_R1_001.fastq.gz, ,reverse
